타바, 56, 156
바바, 40, 190
다아, 97, 176
하다, 93, 182
라바, 71, 175
라가, 82, 188
카자, 97, 179
나카, 98, 150
가카, 56, 191
차카, 99, 186
사바, 69, 179
하다, 44, 164
차라, 90, 191
아차, 87, 186
하하, 52, 199
차아, 69, 194
자사, 87, 154
다카, 74, 163
타타, 67, 154
바카, 49, 187
하아, 80, 191
파바, 99, 192
라하, 88, 180
자자, 42, 175
가파, 83, 188
나사, 64, 195
다나, 73, 151
차마, 76, 168
나나, 54, 181
파나, 52, 176
하나, 78, 155
가자, 96, 198
카나, 49, 184
사차, 48, 170
파바, 73, 179
바가, 91, 150
나카, 48, 175
바아, 80, 162
하마, 58, 154
파라, 93, 185
자자, 59, 154
하아, 70, 153
바자, 82, 159
사가, 89, 164
가타, 59, 157
라라, 50, 162
다카, 98, 193
가하, 51, 174
타사, 58, 180
마라, 74, 170
타라, 94, 196
하하, 92, 157
자사, 76, 161
사라, 40, 180
바사, 96, 167
라라, 64, 159
카다, 68, 181
가아, 50, 199
타파, 90, 186
타나, 42, 156
차사, 63, 182
라차, 41, 161
사차, 95, 191
하가, 89, 182
타마, 91, 156
파아, 44, 171
가바, 54, 196
카카, 54, 177
다자, 42, 171
아사, 50, 182
라카, 70, 169
차아, 66, 197
아나, 63, 193
사나, 75, 163
라라, 75, 178
파타, 49, 190
라다, 92, 186
차차, 76, 162
바가, 95, 172
파파, 94, 181
사타, 55, 165
타마, 72, 176
사카, 77, 161
나자, 72, 195
나사, 70, 163
사나, 71, 171
차자, 53, 156
차하, 71, 191
사가, 98, 176
차하, 57, 162
자하, 75, 162
가라, 70, 168
자하, 90, 170
가사, 65, 179
마다, 84, 162
카파, 76, 183
사사, 52, 161
바파, 54, 174
파라, 91, 192
카차, 88, 179
하나, 76, 183
라바, 53, 151
라카, 68, 170
라자, 98, 150
자아, 90, 182
마카, 68, 151
나하, 52, 194
바파, 42, 199
사타, 88, 177
나차, 60, 169
파차, 69, 193
파다, 71, 160
자가, 62, 156
파나, 94, 152
가파, 53, 162
타가, 85, 177
카라, 51, 186
자나, 71, 196
카다, 55, 195
라바, 58, 183
카차, 40, 172
파하, 67, 185
가카, 79, 155
다파, 58, 157
마파, 73, 150
차하, 52, 157
타바, 88, 158
자파, 98, 170
아하, 69, 197
차파, 73, 182
라차, 70, 158
카자, 88, 184
타파, 95, 180
하카, 71, 180
사차, 51, 186
바자, 54, 159
아바, 54, 151
자카, 84, 169
타파, 42, 156
가바, 59, 156
라하, 82, 189
가다, 56, 194
마아, 67, 187
차다, 80, 163
자바, 54, 151
다하, 64, 167
가가, 52, 199
라바, 62, 162
하나, 69, 199
하아, 76, 168
가바, 54, 157
아차, 69, 194
라다, 74, 180
나사, 53, 150
차나, 50, 186
아다, 92, 156
라아, 53, 172
사다, 83, 161
마다, 68, 177
아아, 40, 164
타자, 71, 168
아카, 53, 195
차차, 92, 150
가자, 76, 182
나가, 90, 179
라라, 75, 191
타다, 97, 163
사바, 65, 163
파카, 59, 159
자자, 82, 173
차자, 59, 162
마마, 83, 178
바가, 72, 196
바바, 94, 176
하나, 59, 173
사나, 71, 196
파카, 49, 179
아하, 63, 162
카아, 61, 197
자카, 96, 153
마카, 75, 192
라자, 91, 181
마아, 62, 189
아바, 55, 183
가파, 79, 152
타가, 94, 191
자파, 84, 177
타타, 66, 157
다가, 71, 162
나파, 86, 157
라카, 49, 160
라마, 79, 197
하나, 80, 153
